episode,train_cscqi,train_isr,critic_loss,actor_loss
50,-1.4106,0.500,0.0006,1.4542
100,-3.0634,0.400,1.4847,1.5203
150,-2.7121,0.600,1.2137,0.6856
200,-2.0564,0.400,0.8616,0.4884
250,-1.2669,0.600,1.0831,1.1288
300,-6.2903,0.200,0.9099,1.4648
350,-2.2974,0.300,0.9763,0.6813
400,-2.8060,0.600,1.0945,-0.3680
450,-1.1213,0.500,0.9023,0.5032
500,-1.1371,0.500,1.3083,0.4252
550,-0.1066,0.700,1.5482,0.8876
600,-2.5236,0.600,0.8813,0.7277
650,-2.0333,0.600,0.9068,1.1029
700,-3.7020,0.400,0.8174,1.1341
750,-1.3104,0.600,1.0574,0.2451
800,-2.1673,0.800,1.0761,0.9819
850,-1.9241,0.800,0.8114,1.7512
900,-2.3381,0.600,1.1573,0.7769
950,-3.0138,0.400,1.2165,0.7750
1000,-3.5159,0.600,1.2951,1.5206
