episode,train_cscqi,train_isr,critic_loss,actor_loss
50,-10.4529,0.160,0.7785,9.4824
100,-12.5508,0.120,1.7343,10.4665
150,-12.4816,0.100,1.0157,9.9550
200,-9.3525,0.180,0.8518,9.6032
250,-10.4681,0.180,0.7934,9.8717
300,-9.1399,0.240,0.6192,9.1905
350,-10.2127,0.160,1.0774,9.2606
400,-10.6781,0.160,0.8830,8.3461
450,-11.0577,0.160,0.6985,9.0441
500,-10.6170,0.140,0.6638,9.3423
550,-12.0414,0.140,0.6453,9.1962
600,-9.8417,0.140,0.9480,8.6692
650,-10.6569,0.160,0.5535,10.6131
700,-11.7688,0.160,0.5857,9.9333
750,-10.4603,0.220,0.7086,9.3456
800,-11.4436,0.140,0.5239,9.1983
850,-7.9980,0.180,0.5150,9.3558
900,-11.8485,0.100,0.5540,10.1993
950,-10.4546,0.180,0.5233,10.3630
1000,-9.7940,0.160,0.4674,9.5959
