episode,train_cscqi,train_isr,critic_loss,actor_loss
50,-6.2389,0.350,0.4963,5.7318
100,-5.8141,0.400,2.5173,5.0161
150,-10.0858,0.250,1.9070,5.3407
200,-7.8687,0.250,1.7101,3.2515
250,-3.4126,0.400,1.1954,3.5124
300,-5.9660,0.400,2.3900,3.8547
350,-4.7542,0.400,1.2853,4.5352
400,-6.1107,0.450,1.7094,3.9596
450,-4.3013,0.450,1.6112,4.9937
500,-5.1942,0.600,1.3489,3.3018
550,-6.3281,0.400,0.8091,3.8017
600,-4.9228,0.350,1.5236,3.8226
650,-9.2615,0.250,0.9531,4.5917
700,-5.7143,0.300,1.7727,4.8157
750,-5.2028,0.350,1.4722,3.7067
800,-5.2045,0.450,1.8700,4.1689
850,-5.5579,0.350,1.1556,4.7684
900,-6.8140,0.400,1.3349,4.0865
950,-3.3716,0.450,1.1930,4.4716
1000,-5.2286,0.300,1.6568,4.2838
